nazwa_stacji,szerokosc_geo,dlugosc_geo
Hilltop,40.7311689,-74.0575736
4 St & River St,40.7408139,-74.0274062
Dixon Mills,40.721630142638354,-74.04996782541275
5 Corners Library,40.734961020009514,-74.0595030784607
River St & 1 St,40.73721535335381,-74.02886540972803
Van Vorst Park,40.71848892,-74.047726625
11 St & Washington St,40.74998490907138,-74.02715027332306
8 St & Washington St,40.745983882915624,-74.02819901704788
2 St & Park Ave,40.73915272763701,-74.0330819785595
14 St Ferry - 14 St & Shipyard Ln,40.752960630464955,-74.02435272932053
Pershing Field,40.742677141,-74.051788633
Bloomfield St & 15 St,40.75453,-74.02658
Montgomery St,40.71942,-74.05099
6 St & Grand St,40.7443978330956,-74.03450086712837
Church Sq Park - 5 St & Park Ave,40.74265933273143,-74.03223305940628
York St & Marin Blvd,40.716615000830494,-74.0424120426178
Union St,40.7182113,-74.0836394
Morris Canal,40.7124188237569,-74.03852552175522
Glenwood Ave,40.72755146730012,-74.07106071710587
Brunswick & 6th,40.72601172964625,-74.05038893222809
Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457
Madison St & 10 St,40.74994325412246,-74.03586477041245
Heights Elevator,40.748715945380226,-74.04044330120087
Newark Ave,40.72152515,-74.046304543
Monroe St & 11 St,40.7501091128573,-74.036636745998
Jackson Square,40.71113,-74.0789
Grove St PATH,40.71941,-74.04309
Marin Light Rail,40.71458403535893,-74.04281705617905
Harborside,40.7192517,-74.034234
Warren St,40.7211236,-74.03805095
Newport Pkwy,40.7287448,-74.0321082
Communipaw & Berry Lane,40.71435836870427,-74.06661093235016
Adams St & 12 St,40.751889392240685,-74.03329162748534
Bergen Ave & Stegman St,40.70657545063453,-74.0867006778717
Newport PATH,40.7272235,-74.0337589
Bergen Ave,40.722103786686034,-74.07145500183105
Lafayette Park,40.71346382669195,-74.06285852193832
Madison St & 1 St,40.73879,-74.0393
Columbus Park - Clinton St & 9 St,40.74816121065146,-74.0324530005455
Lincoln Park,40.7246050998869,-74.07840594649315
Clinton St & Newark St,40.73743,-74.03571
Grand St,40.71517767732029,-74.03768330812454
JC Medical Center,40.71539114317,-74.04969155788422
Jersey & 3rd,40.72333158646436,-74.04595255851744
McGinley Square,40.7253399253558,-74.06762212514877
Astor Place,40.71928220070702,-74.07126188278198
Adams St & 2 St,40.73981372311843,-74.03690412640572
Paulus Hook,40.7141454,-74.0335519
Stevens - River Ter & 6 St,40.74313282710551,-74.02698867022991
Hamilton Park,40.727595966,-74.044247311
Oakland Ave,40.7376037,-74.0524783
Hoboken Terminal - River St & Hudson Pl,40.7360676564825,-74.02912706136703
Grand St & 14 St,40.75409,-74.0316
Leonard Gordon Park,40.74590996631558,-74.0572714805603
Dey St,40.737711,-74.066921
Mama Johnson Field - 4 St & Jackson St,40.74313993965626,-74.04004096984863
Southwest Park - Jackson St & Observer Hwy,40.73755127245804,-74.04166370630264
Washington St,40.7242941,-74.0354826
9 St HBLR - Jackson St & 8 St,40.74790720968899,-74.03841152787209
Liberty Light Rail,40.7112423,-74.0557013
City Hall,40.7177325,-74.043845
Essex Light Rail,40.7127742,-74.0364857
Jersey & 6th St,40.72528910781132,-74.04557168483734
12 St & Sinatra Dr N,40.75060414236896,-74.02402013540268
Clinton St & 7 St,40.74542,-74.03332
Willow Ave & 12 St,40.7518674823282,-74.03037697076797
Bergen Ave & Sip Ave,40.73100888698729,-74.06443700194359
Fairmount Ave,40.72572613742557,-74.07195925712585
City Hall - Washington St & 1 St,40.73736,-74.03097
Exchange Pl,40.71636596185077,-74.034343957901
Riverview Park,40.7443187,-74.0439909
7 St & Monroe St,40.74641264837719,-74.03797701001167
Columbus Drive,40.71835519823214,-74.03891444206238
South Waterfront Walkway - Sinatra Dr & 1 St,40.73698221818716,-74.02778059244156
Christ Hospital,40.734785818,-74.050443636
Grant Ave & MLK Dr,40.70919832245443,-74.08084273338318
4 St & Grand St,40.7422579775645,-74.03511106967926
Monmouth and 6th,40.72568548362901,-74.04879033565521
Monmouth & 6th,40.72568548362901,-74.04879033565521
Marshall St & 2 St,40.740802,-74.042521
Brunswick St,40.7241765,-74.0506564
Manila & 1st,40.721650724879986,-74.04288411140442
Journal Square,40.73367,-74.0625
Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607
Baldwin at Montgomery,40.7236589,-74.0641943
River St & Newark St,40.73672227316331,-74.02900660353771
Newark St & Washington St,40.73681,-74.0309
Clinton St & Grand St,40.71559509,-73.9870295
E 40 St & 5 Ave,40.752062307,-73.9816324043
Water St & Gouverneur Ln,40.70469667894968,-74.00803416967392
11 Ave & W 27 St,40.751396,-74.005226
W 17 St & 8 Ave,40.74177603,-74.00149746
8 Ave & W 16 St,40.740983,-74.001702
Market St & Cherry St,40.71076228,-73.99400398
N 15 St & Wythe Ave,40.724055,-73.955736
Central Park S & Grand Army Plaza,40.764555,-73.973473
Amsterdam Ave & W 66 St,40.7746671,-73.98470567
10 Ave & W 14 St,40.741981599940225,-74.00831580162048
W 16 St & The High Line,40.74334935,-74.00681753
Pier 61 at Chelsea Piers,40.746872,-74.00821
12 Ave & W 40 St,40.76087502,-74.00277668
9 Ave & W 18 St,40.74317449,-74.00366443
Little West St & 1 Pl,40.70569254,-74.01677685
Broadway & Battery Pl,40.70463334,-74.01361706
Spring St & Hudson St,40.72583996792375,-74.0076532959938
River Ter & Warren St,40.71759894980997,-74.01587963104248
South End Ave & Albany St,40.709957,-74.016538
Mercer St & Spring St,40.72362738,-73.99949601
E 56 St & 3 Ave,40.75934501,-73.96759673
Liberty St & Broadway,40.70905623,-74.01043382
Orchard St & Grand St,40.717318403855785,-73.99067759513855
W 34 St & Hudson Blvd E,40.75516719072139,-74.00059908628464
9 Ave & W 22 St,40.7454973,-74.00197139
Wythe Ave & N 13 St,40.722767,-73.957021
Leonard St & Church St,40.717571,-74.005549
7 Ave & Central Park South,40.7667405590595,-73.9790689945221
Fulton St & William St,40.70960089363537,-74.00655090808868
