start_station_name,end_station_name,liczba_tras
Hoboken Ave at Monmouth St,Hoboken Terminal - Hudson St & Hudson Pl,707
Grove St PATH,Liberty Light Rail,635
Bergen Ave & Sip Ave,McGinley Square,620
Grove St PATH,Marin Light Rail,620
Grove St PATH,Hamilton Park,517
8 St & Washington St,Hoboken Terminal - River St & Hudson Pl,511
Exchange Pl,Morris Canal,490
11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,489
Grove St PATH,Lafayette Park,462
Hoboken Terminal - River St & Hudson Pl,Stevens - River Ter & 6 St,460
Hoboken Terminal - Hudson St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,448
Hoboken Terminal - River St & Hudson Pl,Madison St & 1 St,420
Grove St PATH,Van Vorst Park,418
Columbus Park - Clinton St & 9 St,Hoboken Terminal - River St & Hudson Pl,411
Bergen Ave & Sip Ave,Lincoln Park,403
Brunswick St,Grove St PATH,401
Grove St PATH,JC Medical Center,401
Hamilton Park,Manila & 1st,395
Bergen Ave,Bergen Ave & Sip Ave,374
Dey St,Journal Square,368
Baldwin at Montgomery,Grove St PATH,355
4 St & Grand St,Hoboken Terminal - River St & Hudson Pl,346
Clinton St & 7 St,Hoboken Terminal - River St & Hudson Pl,339
Church Sq Park - 5 St & Park Ave,Hoboken Terminal - River St & Hudson Pl,337
12 St & Sinatra Dr N,Hoboken Terminal - River St & Hudson Pl,336
Dixon Mills,Grove St PATH,330
9 St HBLR - Jackson St & 8 St,Hoboken Terminal - River St & Hudson Pl,329
Hoboken Terminal - River St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,323
Bergen Ave & Sip Ave,Fairmount Ave,313
12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,312
Harborside,Newport PATH,307
4 St & Grand St,Stevens - River Ter & 6 St,299
Hamilton Park,Newport PATH,284
City Hall - Washington St & 1 St,Madison St & 1 St,274
7 St & Monroe St,Hoboken Terminal - River St & Hudson Pl,274
Hoboken Ave at Monmouth St,Hoboken Terminal - River St & Hudson Pl,267
Adams St & 2 St,Hoboken Terminal - River St & Hudson Pl,264
Hoboken Terminal - River St & Hudson Pl,Marshall St & 2 St,263
Newport PATH,Newport Pkwy,261
Communipaw & Berry Lane,Grove St PATH,256
Brunswick & 6th,Grove St PATH,251
Hoboken Terminal - Hudson St & Hudson Pl,Madison St & 1 St,251
Hoboken Terminal - River St & Hudson Pl,Mama Johnson Field - 4 St & Jackson St,251
4 St & River St,Hoboken Terminal - River St & Hudson Pl,250
14 St Ferry - 14 St & Shipyard Ln,Hoboken Terminal - River St & Hudson Pl,247
14 St Ferry - 14 St & Shipyard Ln,South Waterfront Walkway - Sinatra Dr & 1 St,238
Baldwin at Montgomery,Bergen Ave & Sip Ave,238
Newport PATH,Washington St,237
Journal Square,Leonard Gordon Park,237
Brunswick & 6th,Manila & 1st,235
Astor Place,Bergen Ave & Sip Ave,232
11 St & Washington St,City Hall - Washington St & 1 St,215
6 St & Grand St,Hoboken Terminal - River St & Hudson Pl,213
Grove St PATH,Montgomery St,209
Grove St PATH,Jersey & 6th St,204
Exchange Pl,Liberty Light Rail,204
8 St & Washington St,River St & 1 St,203
Hoboken Terminal - Hudson St & Hudson Pl,Marshall St & 2 St,203
Clinton St & Newark St,Hoboken Terminal - River St & Hudson Pl,203
City Hall - Washington St & 1 St,Marshall St & 2 St,202
2 St & Park Ave,Hoboken Terminal - River St & Hudson Pl,196
Manila & 1st,Monmouth & 6th,195
14 St Ferry - 14 St & Shipyard Ln,8 St & Washington St,192
City Hall,Liberty Light Rail,190
Hoboken Terminal - River St & Hudson Pl,Willow Ave & 12 St,186
Grove St PATH,Morris Canal,183
Hamilton Park,Newark Ave,177
City Hall - Washington St & 1 St,Hoboken Ave at Monmouth St,175
South Waterfront Walkway - Sinatra Dr & 1 St,Stevens - River Ter & 6 St,173
Journal Square,Oakland Ave,173
Grove St PATH,Monmouth & 6th,172
Hoboken Ave at Monmouth St,Newport PATH,172
Liberty Light Rail,Liberty Light Rail,168
Exchange Pl,Marin Light Rail,168
14 St Ferry - 14 St & Shipyard Ln,4 St & River St,168
11 St & Washington St,River St & 1 St,167
Columbus Park - Clinton St & 9 St,River St & 1 St,165
11 St & Washington St,Stevens - River Ter & 6 St,157
Marin Light Rail,Paulus Hook,157
Bergen Ave & Sip Ave,Glenwood Ave,156
8 St & Washington St,City Hall - Washington St & 1 St,154
Columbus Drive,Newport PATH,152
City Hall - Washington St & 1 St,Columbus Park - Clinton St & 9 St,148
9 St HBLR - Jackson St & 8 St,City Hall - Washington St & 1 St,148
Exchange Pl,Grand St,148
Newport Pkwy,Warren St,147
Newport PATH,Warren St,147
8 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,146
Newport Pkwy,Newport Pkwy,146
12 St & Sinatra Dr N,12 St & Sinatra Dr N,146
4 St & River St,South Waterfront Walkway - Sinatra Dr & 1 St,145
Clinton St & Newark St,Hoboken Terminal - Hudson St & Hudson Pl,145
Essex Light Rail,Exchange Pl,141
Columbus Drive,Newport Pkwy,139
Clinton St & 7 St,River St & 1 St,139
8 St & Washington St,9 St HBLR - Jackson St & 8 St,138
River St & 1 St,Stevens - River Ter & 6 St,138
Bloomfield St & 15 St,Hoboken Terminal - River St & Hudson Pl,138
Jersey & 6th St,Manila & 1st,136
Morris Canal,Paulus Hook,136
