start_station_name,end_station_name,liczba_tras
Grove St PATH,Marin Light Rail,793
Hoboken Ave at Monmouth St,Hoboken Terminal - Hudson St & Hudson Pl,786
Grove St PATH,Liberty Light Rail,759
Bergen Ave & Sip Ave,McGinley Square,725
Brunswick St,Grove St PATH,593
Grove St PATH,Hamilton Park,544
Hamilton Park,Manila & 1st,539
Grove St PATH,Lafayette Park,528
Grove St PATH,JC Medical Center,525
Hoboken Terminal - Hudson St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,524
Bergen Ave & Sip Ave,Lincoln Park,514
Exchange Pl,Morris Canal,500
Hoboken Terminal - Hudson St & Hudson Pl,Madison St & 1 St,448
Dey St,Journal Square,420
Baldwin at Montgomery,Grove St PATH,420
Bergen Ave & Sip Ave,Fairmount Ave,420
11 St & Washington St,River St & Newark St,409
Grove St PATH,Van Vorst Park,406
Dixon Mills,Grove St PATH,406
8 St & Washington St,River St & Newark St,385
Liberty Light Rail,Liberty Light Rail,380
Bergen Ave,Bergen Ave & Sip Ave,353
Grove St PATH,Montgomery St,349
Brunswick & 6th,Grove St PATH,324
Grove St PATH,Jersey & 6th St,309
Astor Place,Bergen Ave & Sip Ave,302
Exchange Pl,Liberty Light Rail,296
Harborside,Newport PATH,295
14 St Ferry - 14 St & Shipyard Ln,River St & Newark St,294
12 St & Sinatra Dr N,12 St & Sinatra Dr N,293
12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,290
Newport PATH,Newport Pkwy,290
Exchange Pl,Marin Light Rail,287
4 St & Grand St,River St & Newark St,285
Hoboken Terminal - Hudson St & Hudson Pl,Marshall St & 2 St,281
12 St & Sinatra Dr N,River St & Newark St,280
Madison St & 1 St,River St & Newark St,276
Baldwin at Montgomery,Bergen Ave & Sip Ave,270
Newport PATH,Washington St,269
Communipaw & Berry Lane,Grove St PATH,269
Manila & 1st,Monmouth & 6th,268
Columbus Park - Clinton St & 9 St,River St & Newark St,265
8 St & Washington St,River St & 1 St,262
Newport Pkwy,Warren St,258
14 St Ferry - 14 St & Shipyard Ln,South Waterfront Walkway - Sinatra Dr & 1 St,257
4 St & River St,South Waterfront Walkway - Sinatra Dr & 1 St,257
14 St Ferry - 14 St & Shipyard Ln,4 St & River St,256
Journal Square,Leonard Gordon Park,254
River St & Newark St,Stevens - River Ter & 6 St,244
Hamilton Park,Newark Ave,243
Columbus Park - Clinton St & 9 St,River St & 1 St,240
14 St Ferry - 14 St & Shipyard Ln,8 St & Washington St,240
City Hall - Washington St & 1 St,Madison St & 1 St,239
11 St & Washington St,River St & 1 St,236
Clinton St & 7 St,River St & Newark St,236
Exchange Pl,Washington St,228
12 St & Sinatra Dr N,4 St & River St,226
Clinton St & Newark St,Hoboken Terminal - Hudson St & Hudson Pl,223
9 St HBLR - Jackson St & 8 St,River St & Newark St,220
Hamilton Park,Newport PATH,220
Hamilton Park,Jersey & 3rd,219
9 St HBLR - Jackson St & 8 St,Grand St & 14 St,219
Newport PATH,Warren St,219
Marin Light Rail,Paulus Hook,217
Brunswick & 6th,Manila & 1st,217
11 St & Washington St,4 St & River St,215
Columbus Drive,Newport Pkwy,213
Grove St PATH,Monmouth & 6th,213
Morris Canal,Paulus Hook,213
Clinton St & 7 St,River St & 1 St,212
4 St & River St,River St & Newark St,209
Grove St PATH,Morris Canal,209
14 St Ferry - 14 St & Shipyard Ln,River St & 1 St,207
Marshall St & 2 St,River St & Newark St,206
Exchange Pl,Grand St,204
Clinton St & 7 St,Hoboken Terminal - Hudson St & Hudson Pl,202
Journal Square,Pershing Field,197
14 St Ferry - 14 St & Shipyard Ln,14 St Ferry - 14 St & Shipyard Ln,196
Mama Johnson Field - 4 St & Jackson St,River St & Newark St,195
City Hall,Liberty Light Rail,194
7 St & Monroe St,River St & Newark St,193
Hoboken Ave at Monmouth St,Newport PATH,193
Newport Pkwy,Washington St,193
11 St & Washington St,City Hall - Washington St & 1 St,193
Hoboken Ave at Monmouth St,Newark St & Washington St,192
Hoboken Terminal - Hudson St & Hudson Pl,Mama Johnson Field - 4 St & Jackson St,192
South Waterfront Walkway - Sinatra Dr & 1 St,South Waterfront Walkway - Sinatra Dr & 1 St,188
Columbus Park - Clinton St & 9 St,Hoboken Terminal - Hudson St & Hudson Pl,187
Madison St & 1 St,Newark St & Washington St,185
7 St & Monroe St,Hoboken Terminal - Hudson St & Hudson Pl,184
Exchange Pl,Newport Pkwy,182
City Hall - Washington St & 1 St,Marshall St & 2 St,181
Bergen Ave & Sip Ave,Glenwood Ave,180
12 St & Sinatra Dr N,River St & 1 St,180
Harborside,Newport Pkwy,180
11 St & Washington St,9 St HBLR - Jackson St & 8 St,178
Columbus Drive,Warren St,177
Church Sq Park - 5 St & Park Ave,Hoboken Terminal - Hudson St & Hudson Pl,175
Exchange Pl,Newport PATH,174
14 St Ferry - 14 St & Shipyard Ln,Columbus Park - Clinton St & 9 St,173
