start_station_name,end_station_name,liczba_tras
Hoboken Ave at Monmouth St,Hoboken Terminal - Hudson St & Hudson Pl,826
Bergen Ave & Sip Ave,McGinley Square,783
Grove St PATH,Marin Light Rail,725
Grove St PATH,Liberty Light Rail,578
11 St & Washington St,River St & Newark St,556
Brunswick St,Grove St PATH,537
Dixon Mills,Grove St PATH,535
Grove St PATH,JC Medical Center,528
Hoboken Terminal - Hudson St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,511
Grove St PATH,Hamilton Park,507
8 St & Washington St,River St & Newark St,488
Hamilton Park,Manila & 1st,485
Hoboken Terminal - Hudson St & Hudson Pl,Madison St & 1 St,458
Bergen Ave & Sip Ave,Lincoln Park,440
Bergen Ave & Sip Ave,Fairmount Ave,438
Communipaw Ave & Pacific Ave,Grove St PATH,436
Bergen Ave,Bergen Ave & Sip Ave,417
Columbus Park - Clinton St & 9 St,River St & Newark St,401
Grove St PATH,Lafayette Park,380
Exchange Pl,Morris Canal,375
Dey St,Journal Square,374
Baldwin at Montgomery,Grove St PATH,374
12 St & Sinatra Dr N,River St & Newark St,368
Grove St PATH,Van Vorst Park,352
Grove St PATH,Montgomery St,337
8 St & Washington St,River St & 1 St,330
Madison St & 1 St,River St & Newark St,325
River St & Newark St,Stevens - River Ter & 6 St,319
Dr. Lena Edwards Park,Grove St PATH,317
Manila & 1st,Monmouth & 6th,315
Exchange Pl,Marin Light Rail,315
Brunswick & 6th,Grove St PATH,313
4 St & Grand St,River St & Newark St,313
14 St Ferry - 14 St & Shipyard Ln,River St & Newark St,312
11 St & Washington St,River St & 1 St,309
Communipaw & Berry Lane,Grove St PATH,308
14 St Ferry - 14 St & Shipyard Ln,8 St & Washington St,300
Clinton St & 7 St,River St & Newark St,296
Hamilton Park,Newport PATH,293
Hoboken Terminal - Hudson St & Hudson Pl,Marshall St & 2 St,286
12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,283
Marshall St & 2 St,River St & Newark St,277
Newport PATH,Newport Pkwy,276
9 St HBLR - Jackson St & 8 St,River St & Newark St,273
Columbus Park - Clinton St & 9 St,River St & 1 St,272
Grove St PATH,Monmouth & 6th,271
Harborside,Newport PATH,266
14 St Ferry - 14 St & Shipyard Ln,South Waterfront Walkway - Sinatra Dr & 1 St,261
Newport PATH,Washington St,260
7 St & Monroe St,River St & Newark St,260
4 St & River St,South Waterfront Walkway - Sinatra Dr & 1 St,253
Clinton St & 7 St,River St & 1 St,253
Astor Place,Bergen Ave & Sip Ave,245
Church Sq Park - 5 St & Park Ave,River St & Newark St,244
14 St Ferry - 14 St & Shipyard Ln,4 St & River St,243
14 St Ferry - 14 St & Shipyard Ln,River St & 1 St,242
Adams St & 2 St,River St & Newark St,241
Exchange Pl,Liberty Light Rail,241
8 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,228
Brunswick & 6th,Manila & 1st,227
Columbus Park - Clinton St & 9 St,Hoboken Terminal - Hudson St & Hudson Pl,226
Madison St & 1 St,Newark St & Washington St,226
Mama Johnson Field - 4 St & Jackson St,River St & Newark St,225
Clinton St & Newark St,Hoboken Terminal - Hudson St & Hudson Pl,225
Baldwin at Montgomery,Bergen Ave & Sip Ave,224
4 St & Grand St,River St & 1 St,220
11 St & Washington St,8 St & Washington St,209
River St & Newark St,Willow Ave & 12 St,206
6 St & Grand St,River St & Newark St,205
11 St & Washington St,Church Sq Park - 5 St & Park Ave,204
Hamilton Park,Jersey & 3rd,204
Grove St PATH,Jersey & 6th St,200
Newport PATH,Warren St,200
South Waterfront Walkway - Sinatra Dr & 1 St,Stevens - River Ter & 6 St,197
9 St HBLR - Jackson St & 8 St,Columbus Park - Clinton St & 9 St,196
11 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,190
Hoboken Ave at Monmouth St,Newport PATH,189
Church Sq Park - 5 St & Park Ave,Willow Ave & 12 St,188
7 St & Monroe St,Hoboken Terminal - Hudson St & Hudson Pl,185
11 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,184
11 St & Washington St,Newark St & Washington St,184
Bergen Ave & Sip Ave,Glenwood Ave,183
8 St & Washington St,9 St HBLR - Jackson St & 8 St,183
City Hall - Washington St & 1 St,Marshall St & 2 St,182
14 St Ferry - 14 St & Shipyard Ln,Columbus Park - Clinton St & 9 St,182
12 St & Sinatra Dr N,4 St & River St,182
11 St & Washington St,City Hall - Washington St & 1 St,181
12 St & Sinatra Dr N,River St & 1 St,181
Exchange Pl,Grand St,180
Journal Square,Leonard Gordon Park,178
Marshall St & 2 St,Newark St & Washington St,177
8 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,175
Grove St PATH,Morris Canal,172
4 St & River St,River St & Newark St,172
Adams St & 2 St,Hoboken Terminal - Hudson St & Hudson Pl,172
Hoboken Ave at Monmouth St,Newark St & Washington St,172
Journal Square,Pershing Field,172
City Hall - Washington St & 1 St,Columbus Park - Clinton St & 9 St,171
9 St HBLR - Jackson St & 8 St,Church Sq Park - 5 St & Park Ave,171
Church Sq Park - 5 St & Park Ave,Columbus Park - Clinton St & 9 St,171
