start_station_name,end_station_name,liczba_tras
Bergen Ave & Sip Ave,McGinley Square,574
Grove St PATH,Liberty Light Rail,533
Grove St PATH,Marin Light Rail,519
8 St & Washington St,Hoboken Terminal - River St & Hudson Pl,505
Grove St PATH,Hamilton Park,403
Exchange Pl,Morris Canal,396
Hoboken Terminal - River St & Hudson Pl,Madison St & 1 St,381
Brunswick St,Grove St PATH,362
Bergen Ave,Bergen Ave & Sip Ave,360
Hoboken Terminal - River St & Hudson Pl,Stevens - River Ter & 6 St,342
Grove St PATH,Lafayette Park,339
11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,322
4 St & Grand St,Hoboken Terminal - River St & Hudson Pl,318
Columbus Park - Clinton St & 9 St,Hoboken Terminal - River St & Hudson Pl,314
Hoboken Terminal - Hudson St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,312
Dey St,Journal Square,308
Clinton St & 7 St,Hoboken Terminal - River St & Hudson Pl,307
Bergen Ave & Sip Ave,Lincoln Park,306
Hamilton Park,Manila & 1st,298
Bergen Ave & Sip Ave,Fairmount Ave,284
Church Sq Park - 5 St & Park Ave,Hoboken Terminal - River St & Hudson Pl,278
Grove St PATH,JC Medical Center,267
Hoboken Ave at Monmouth St,Hoboken Terminal - Hudson St & Hudson Pl,263
Grove St PATH,Van Vorst Park,256
Adams St & 2 St,Hoboken Terminal - River St & Hudson Pl,253
Dixon Mills,Grove St PATH,247
Brunswick & 6th,Grove St PATH,239
12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,221
8 St & Washington St,River St & 1 St,221
Hoboken Terminal - River St & Hudson Pl,Marshall St & 2 St,220
Hoboken Terminal - Hudson St & Hudson Pl,Madison St & 1 St,210
Grove St PATH,Montgomery St,207
City Hall - Washington St & 1 St,Madison St & 1 St,206
Harborside,Newport PATH,199
12 St & Sinatra Dr N,Hoboken Terminal - River St & Hudson Pl,196
Hamilton Park,Newport PATH,193
Newport PATH,Washington St,191
Astor Place,Bergen Ave & Sip Ave,186
Baldwin at Montgomery,Grove St PATH,185
9 St HBLR - Jackson St & 8 St,Hoboken Terminal - River St & Hudson Pl,184
6 St & Grand St,Hoboken Terminal - River St & Hudson Pl,182
Bergen Ave & Sip Ave,Glenwood Ave,181
Communipaw & Berry Lane,Grove St PATH,179
Grove St PATH,Jersey & 6th St,175
Clinton St & Newark St,Hoboken Terminal - River St & Hudson Pl,174
Journal Square,Leonard Gordon Park,172
Newport PATH,Newport Pkwy,171
Journal Square,Oakland Ave,161
Baldwin at Montgomery,Bergen Ave & Sip Ave,160
4 St & River St,Hoboken Terminal - River St & Hudson Pl,160
14 St Ferry - 14 St & Shipyard Ln,Hoboken Terminal - River St & Hudson Pl,159
8 St & Washington St,City Hall - Washington St & 1 St,157
2 St & Park Ave,Hoboken Terminal - River St & Hudson Pl,156
Hoboken Terminal - River St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,154
7 St & Monroe St,Hoboken Terminal - River St & Hudson Pl,148
City Hall - Washington St & 1 St,Marshall St & 2 St,146
Hoboken Terminal - River St & Hudson Pl,Mama Johnson Field - 4 St & Jackson St,145
Columbus Park - Clinton St & 9 St,River St & 1 St,142
8 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,141
Newport Pkwy,Warren St,138
Brunswick & 6th,Manila & 1st,135
14 St Ferry - 14 St & Shipyard Ln,8 St & Washington St,134
11 St & Washington St,River St & 1 St,128
Hoboken Terminal - Hudson St & Hudson Pl,Marshall St & 2 St,122
Exchange Pl,Liberty Light Rail,121
11 St & Washington St,City Hall - Washington St & 1 St,121
Exchange Pl,Marin Light Rail,119
Hoboken Terminal - River St & Hudson Pl,Willow Ave & 12 St,119
9 St HBLR - Jackson St & 8 St,Stevens - River Ter & 6 St,118
Hoboken Ave at Monmouth St,Hoboken Terminal - River St & Hudson Pl,117
14 St Ferry - 14 St & Shipyard Ln,Columbus Park - Clinton St & 9 St,114
4 St & Grand St,River St & 1 St,114
City Hall,Liberty Light Rail,113
Morris Canal,Paulus Hook,111
Grove St PATH,Monmouth & 6th,110
Columbus Drive,Newport Pkwy,109
Newport PATH,Warren St,108
Exchange Pl,Grand St,107
City Hall - Washington St & 1 St,Columbus Park - Clinton St & 9 St,107
Marin Light Rail,Paulus Hook,106
Madison St & 1 St,River St & 1 St,106
7 St & Monroe St,Marshall St & 2 St,105
Hamilton Park,Newark Ave,104
Christ Hospital,Hoboken Ave at Monmouth St,103
Marshall St & 2 St,River St & 1 St,101
14 St Ferry - 14 St & Shipyard Ln,South Waterfront Walkway - Sinatra Dr & 1 St,101
City Hall - Washington St & 1 St,Mama Johnson Field - 4 St & Jackson St,100
11 St & Washington St,9 St HBLR - Jackson St & 8 St,100
Clinton St & 7 St,River St & 1 St,99
City Hall - Washington St & 1 St,Southwest Park - Jackson St & Observer Hwy,98
Grand St,Newport PATH,98
Adams St & 2 St,City Hall - Washington St & 1 St,97
9 St HBLR - Jackson St & 8 St,Grand St & 14 St,97
Essex Light Rail,Exchange Pl,96
2 St & Park Ave,Columbus Park - Clinton St & 9 St,96
Adams St & 2 St,Grand St & 14 St,96
Church Sq Park - 5 St & Park Ave,River St & 1 St,96
Columbus Drive,Newport PATH,95
City Hall - Washington St & 1 St,Clinton St & Newark St,95
Exchange Pl,Washington St,93
